,0
0,244.0
1,0.0
2,59.0
3,90.0
4,201.0
5,104.0
6,101.0
7,49.0
8,180.0
9,90.0
10,114.0
11,43.0
12,225.0
13,51.0
14,107.0
15,58.0
16,82.0
17,75.0
18,152.0
19,162.0
20,67.0
21,81.0
22,12.0
23,65.0
24,115.0
25,57.0
26,68.0
27,67.0
28,83.0
29,31.0
30,311.0
31,410.0
32,66.0
33,350.0
34,110.0
35,55.0
36,217.0
37,93.0
38,286.0
39,92.0
40,170.0
41,106.0
42,49.0
43,73.0
44,31.0
45,207.0
46,180.0
47,360.0
48,388.0
49,61.0
50,84.0
51,49.0
52,120.0
53,356.0
54,342.0
55,52.0
56,251.0
57,1376.0
58,153.0
59,168.0
60,83.0
61,79.0
62,217.0
63,155.0
64,311.0
65,71.0
66,60.0
67,44.0
68,99.0
69,47.0
70,142.0
71,306.0
72,101.0
73,93.0
74,95.0
75,35.0
76,95.0
77,63.0
78,164.0
79,46.0
80,145.0
81,100.0
82,123.0
83,162.0
84,73.0
85,123.0
86,133.0
87,405.0
88,28.0
89,213.0
90,87.0
91,112.0
92,144.0
93,96.0
94,108.0
95,91.0
96,178.0
97,73.0
98,79.0
99,424.0
100,101.0
101,124.0
102,64.0
103,115.0
104,81.0
105,57.0
106,57.0
107,85.0
108,111.0
109,166.0
110,56.0
111,101.0
112,155.0
113,603.0
114,438.0
115,412.0
116,116.0
117,73.0
118,37.0
119,223.0
120,54.0
121,60.0
122,102.0
123,278.0
124,47.0
125,124.0
126,113.0
127,31.0
128,172.0
129,322.0
130,76.0
131,57.0
132,113.0
133,425.0
134,158.0
135,115.0
136,79.0
137,280.0
138,54.0
139,387.0
140,45.0
141,459.0
142,123.0
143,95.0
144,55.0
145,454.0
146,127.0
147,80.0
148,129.0
149,36.0
150,167.0
151,48.0
152,52.0
153,84.0
154,101.0
155,115.0
156,85.0
157,56.0
158,46.0
159,326.0
160,133.0
161,64.0
162,79.0
163,178.0
164,105.0
165,41.0
166,130.0
167,123.0
168,83.0
169,47.0
170,237.0
171,164.0
172,161.0
173,188.0
174,91.0
175,71.0
176,103.0
177,90.0
178,63.0
179,235.0
180,63.0
181,42.0
182,197.0
183,88.0
184,88.0
185,135.0
186,65.0
187,100.0
188,416.0
189,61.0
190,0.0
191,31.0
192,108.0
193,50.0
194,51.0
195,31.0
196,32.0
197,143.0
198,161.0
199,186.0
200,27.0
201,195.0
202,354.0
203,85.0
204,84.0
205,56.0
206,56.0
207,91.0
208,66.0
209,73.0
