,0
0,95.0
1,0.0
2,60.0
3,90.0
4,201.0
5,78.0
6,101.0
7,49.0
8,180.0
9,90.0
10,114.0
11,46.0
12,107.0
13,51.0
14,133.0
15,58.0
16,82.0
17,75.0
18,152.0
19,124.0
20,67.0
21,81.0
22,33.0
23,65.0
24,115.0
25,57.0
26,68.0
27,31.0
28,83.0
29,31.0
30,123.0
31,255.0
32,66.0
33,179.0
34,110.0
35,55.0
36,188.0
37,93.0
38,81.0
39,92.0
40,150.0
41,106.0
42,49.0
43,73.0
44,31.0
45,186.0
46,180.0
47,179.0
48,101.0
49,61.0
50,84.0
51,49.0
52,101.0
53,123.0
54,158.0
55,52.0
56,282.0
57,123.0
58,153.0
59,124.0
60,83.0
61,79.0
62,229.0
63,31.0
64,150.0
65,71.0
66,60.0
67,52.0
68,99.0
69,47.0
70,144.0
71,271.0
72,101.0
73,93.0
74,95.0
75,35.0
76,95.0
77,63.0
78,115.0
79,46.0
80,124.0
81,100.0
82,123.0
83,150.0
84,73.0
85,123.0
86,133.0
87,110.0
88,47.0
89,101.0
90,87.0
91,123.0
92,144.0
93,96.0
94,108.0
95,91.0
96,178.0
97,73.0
98,79.0
99,164.0
100,101.0
101,124.0
102,64.0
103,115.0
104,81.0
105,57.0
106,57.0
107,85.0
108,111.0
109,155.0
110,56.0
111,101.0
112,155.0
113,264.0
114,123.0
115,123.0
116,116.0
117,73.0
118,37.0
119,201.0
120,54.0
121,60.0
122,102.0
123,180.0
124,47.0
125,124.0
126,27.0
127,31.0
128,172.0
129,271.0
130,76.0
131,57.0
132,113.0
133,271.0
134,158.0
135,93.0
136,79.0
137,264.0
138,54.0
139,255.0
140,42.0
141,255.0
142,123.0
143,95.0
144,55.0
145,201.0
146,115.0
147,80.0
148,158.0
149,51.0
150,67.0
151,48.0
152,52.0
153,84.0
154,101.0
155,115.0
156,85.0
157,56.0
158,46.0
159,255.0
160,102.0
161,64.0
162,79.0
163,178.0
164,105.0
165,41.0
166,130.0
167,123.0
168,83.0
169,47.0
170,176.0
171,153.0
172,158.0
173,188.0
174,91.0
175,71.0
176,103.0
177,90.0
178,63.0
179,110.0
180,63.0
181,42.0
182,218.0
183,73.0
184,88.0
185,135.0
186,65.0
187,100.0
188,201.0
189,61.0
190,0.0
191,31.0
192,108.0
193,50.0
194,51.0
195,31.0
196,32.0
197,143.0
198,157.0
199,186.0
200,27.0
201,124.0
202,90.0
203,85.0
204,84.0
205,56.0
206,56.0
207,91.0
208,66.0
209,73.0
210,81.0
211,41.0
212,74.0
213,33.0
214,124.0
215,42.0
216,148.0
217,47.0
218,56.0
219,114.0
220,85.0
221,0.0
222,67.0
223,72.0
224,84.0
225,123.0
226,48.0
227,57.0
228,53.0
229,79.0
230,70.0
231,75.0
232,209.0
233,157.0
234,128.0
235,52.0
236,47.0
237,75.0
238,72.0
239,282.0
240,101.0
241,89.0
242,201.0
243,123.0
244,105.0
245,41.0
246,150.0
247,70.0
248,166.0
249,50.0
250,107.0
251,110.0
252,60.0
253,97.0
254,73.0
255,177.0
256,84.0
257,50.0
258,73.0
259,47.0
260,84.0
261,108.0
262,88.0
263,81.0
264,95.0
265,43.0
266,81.0
267,75.0
268,121.0
269,89.0
270,62.0
271,229.0
272,104.0
273,69.0
274,164.0
275,126.0
276,27.0
277,201.0
278,179.0
279,60.0
280,158.0
281,255.0
282,61.0
283,35.0
284,188.0
285,229.0
286,188.0
287,78.0
288,42.0
289,63.0
290,134.0
291,131.0
292,191.0
293,117.0
294,48.0
295,124.0
296,201.0
297,90.0
298,188.0
299,42.0
300,88.0
301,176.0
302,27.0
303,188.0
304,71.0
305,229.0
306,51.0
307,113.0
308,124.0
309,124.0
310,108.0
311,89.0
312,229.0
313,139.0
314,172.0
315,172.0
316,51.0
317,124.0
318,158.0
319,183.0
320,111.0
321,65.0
322,186.0
323,102.0
324,56.0
325,75.0
326,47.0
327,114.0
328,74.0
329,41.0
330,229.0
331,86.0
332,108.0
333,135.0
334,158.0
335,209.0
336,77.0
337,90.0
338,73.0
339,56.0
340,150.0
341,110.0
342,114.0
343,152.0
344,83.0
345,229.0
346,53.0
347,201.0
348,93.0
349,255.0
350,93.0
351,282.0
352,51.0
353,66.0
354,68.0
355,114.0
356,65.0
357,144.0
358,152.0
359,108.0
360,188.0
361,144.0
362,90.0
363,71.0
364,53.0
365,107.0
366,92.0
367,201.0
368,95.0
369,150.0
370,229.0
371,56.0
372,64.0
373,56.0
374,55.0
375,54.0
376,93.0
377,144.0
378,42.0
379,188.0
380,43.0
381,46.0
382,92.0
383,92.0
384,55.0
385,167.0
386,65.0
387,84.0
388,99.0
389,42.0
390,201.0
391,255.0
392,188.0
393,173.0
394,191.0
395,104.0
396,151.0
397,108.0
398,76.0
399,65.0
400,85.0
401,188.0
402,76.0
403,177.0
404,155.0
405,176.0
406,158.0
407,201.0
408,103.0
409,72.0
410,42.0
411,107.0
412,188.0
413,180.0
414,92.0
415,46.0
416,31.0
417,138.0
418,33.0
419,87.0
420,34.0
421,77.0
422,77.0
423,61.0
424,98.0
425,158.0
426,98.0
427,139.0
428,42.0
429,100.0
430,55.0
431,0.0
432,62.0
433,42.0
434,201.0
435,188.0
436,100.0
437,56.0
438,137.0
439,71.0
440,255.0
441,100.0
442,68.0
443,81.0
444,167.0
445,32.0
446,188.0
447,180.0
448,27.0
449,60.0
450,103.0
451,179.0
452,60.0
453,100.0
454,114.0
455,46.0
456,32.0
457,86.0
458,37.0
459,179.0
460,55.0
461,68.0
462,129.0
463,100.0
464,177.0
465,51.0
466,87.0
467,44.0
468,64.0
469,48.0
470,100.0
471,188.0
472,100.0
473,32.0
474,129.0
475,71.0
476,79.0
477,31.0
478,68.0
479,52.0
480,54.0
481,72.0
482,55.0
483,81.0
484,82.0
485,74.0
486,62.0
487,73.0
488,65.0
489,42.0
490,180.0
491,77.0
492,99.0
493,54.0
494,37.0
495,102.0
496,77.0
497,77.0
498,54.0
499,117.0
500,125.0
501,129.0
502,93.0
503,76.0
504,97.0
505,57.0
506,229.0
507,155.0
508,31.0
509,52.0
510,132.0
511,98.0
512,151.0
513,57.0
514,103.0
515,92.0
516,229.0
517,61.0
518,188.0
519,100.0
520,62.0
521,133.0
522,35.0
523,73.0
524,57.0
525,93.0
526,64.0
527,201.0
528,123.0
529,229.0
530,151.0
531,111.0
532,152.0
533,37.0
534,180.0
535,65.0
536,103.0
537,37.0
538,74.0
539,92.0
540,155.0
541,69.0
542,82.0
543,83.0
544,64.0
545,76.0
546,77.0
547,143.0
548,78.0
549,102.0
550,101.0
551,93.0
552,229.0
553,97.0
554,31.0
555,40.0
556,209.0
557,77.0
558,218.0
559,155.0
560,73.0
561,76.0
562,42.0
563,209.0
564,155.0
565,74.0
566,73.0
567,110.0
568,188.0
569,152.0
570,152.0
571,271.0
572,45.0
573,48.0
574,173.0
575,64.0
576,180.0
577,86.0
578,125.0
579,177.0
580,105.0
581,35.0
582,41.0
583,92.0
584,78.0
585,104.0
586,101.0
587,37.0
588,54.0
589,111.0
590,54.0
591,201.0
592,183.0
593,42.0
594,209.0
595,54.0
596,77.0
597,73.0
598,57.0
599,229.0
600,88.0
601,71.0
602,83.0
603,125.0
604,71.0
605,151.0
606,85.0
607,155.0
608,71.0
609,78.0
610,133.0
611,69.0
612,150.0
613,158.0
614,110.0
615,62.0
616,99.0
617,186.0
618,48.0
619,158.0
620,115.0
621,49.0
622,92.0
623,158.0
624,87.0
625,123.0
626,155.0
627,130.0
628,133.0
629,97.0
630,160.0
631,99.0
632,57.0
633,71.0
634,57.0
635,114.0
636,255.0
637,209.0
638,81.0
639,137.0
640,64.0
641,124.0
642,85.0
643,27.0
644,92.0
645,111.0
646,129.0
647,85.0
648,155.0
649,201.0
650,201.0
651,153.0
652,109.0
653,144.0
654,41.0
655,201.0
656,79.0
657,157.0
658,0.0
659,74.0
660,84.0
661,81.0
662,94.0
663,52.0
664,96.0
665,69.0
666,113.0
667,188.0
668,95.0
669,152.0
670,188.0
671,71.0
672,69.0
673,186.0
674,60.0
675,125.0
676,85.0
677,67.0
678,201.0
679,77.0
680,84.0
681,53.0
682,0.0
683,64.0
684,201.0
685,135.0
686,69.0
687,77.0
688,76.0
689,101.0
690,186.0
691,100.0
692,73.0
693,144.0
694,144.0
695,64.0
696,110.0
697,65.0
698,86.0
699,0.0
700,84.0
701,118.0
702,111.0
703,95.0
704,42.0
705,86.0
706,84.0
707,101.0
708,49.0
709,56.0
710,125.0
711,75.0
712,186.0
713,155.0
714,110.0
715,118.0
716,87.0
717,99.0
718,118.0
719,155.0
720,137.0
721,0.0
722,179.0
723,32.0
724,115.0
725,58.0
726,49.0
727,191.0
728,183.0
729,201.0
730,255.0
731,73.0
732,137.0
733,118.0
734,56.0
735,92.0
736,186.0
737,133.0
738,0.0
739,89.0
740,71.0
741,49.0
742,103.0
743,72.0
744,76.0
745,53.0
746,180.0
747,118.0
748,66.0
749,144.0
750,111.0
751,49.0
752,66.0
753,99.0
754,89.0
755,175.0
756,132.0
757,70.0
758,144.0
759,104.0
760,56.0
761,110.0
762,74.0
763,63.0
764,108.0
765,46.0
766,70.0
767,76.0
768,100.0
769,42.0
770,78.0
771,144.0
772,130.0
773,180.0
774,264.0
775,201.0
776,186.0
777,98.0
778,111.0
779,110.0
780,152.0
781,54.0
782,111.0
783,55.0
784,77.0
785,40.0
786,73.0
787,264.0
788,100.0
789,48.0
790,80.0
791,188.0
792,51.0
793,144.0
794,98.0
795,48.0
796,80.0
797,105.0
798,83.0
799,179.0
800,89.0
801,48.0
802,218.0
803,69.0
804,186.0
805,51.0
806,57.0
807,201.0
808,50.0
809,0.0
810,42.0
811,144.0
812,85.0
813,132.0
814,55.0
815,271.0
816,122.0
817,50.0
818,89.0
819,191.0
820,201.0
821,54.0
822,97.0
823,105.0
824,271.0
825,114.0
826,80.0
827,42.0
828,271.0
829,78.0
830,191.0
831,104.0
832,53.0
833,78.0
834,102.0
835,72.0
836,92.0
837,144.0
838,77.0
839,186.0
840,42.0
841,27.0
842,42.0
843,49.0
844,62.0
845,69.0
846,51.0
847,145.0
848,51.0
849,188.0
850,84.0
851,85.0
852,76.0
853,80.0
854,56.0
855,39.0
856,51.0
857,96.0
858,98.0
859,201.0
860,80.0
861,186.0
862,60.0
863,271.0
864,201.0
865,255.0
866,95.0
867,264.0
868,271.0
869,99.0
870,79.0
871,158.0
872,130.0
873,180.0
874,96.0
875,264.0
876,176.0
877,55.0
878,66.0
879,85.0
880,117.0
881,77.0
882,111.0
883,176.0
884,83.0
885,41.0
886,55.0
887,75.0
888,110.0
889,51.0
890,76.0
891,176.0
892,49.0
893,82.0
894,183.0
895,106.0
896,76.0
897,118.0
898,104.0
899,104.0
900,132.0
901,75.0
902,64.0
903,54.0
904,102.0
905,121.0
906,78.0
907,96.0
908,133.0
909,188.0
910,58.0
911,134.0
912,48.0
913,56.0
914,101.0
915,76.0
916,85.0
917,61.0
918,55.0
919,97.0
920,144.0
921,77.0
922,89.0
923,131.0
924,103.0
925,91.0
926,93.0
927,112.0
928,67.0
929,85.0
930,153.0
931,55.0
932,83.0
933,180.0
934,126.0
935,35.0
936,74.0
937,85.0
938,124.0
939,112.0
940,41.0
941,60.0
942,55.0
943,52.0
944,39.0
945,114.0
946,55.0
947,99.0
948,71.0
949,112.0
950,183.0
951,103.0
952,188.0
953,105.0
954,89.0
955,35.0
956,177.0
957,152.0
958,183.0
959,93.0
960,130.0
961,102.0
962,114.0
963,137.0
964,55.0
965,112.0
966,94.0
967,121.0
968,121.0
969,126.0
970,101.0
971,130.0
972,188.0
973,144.0
974,112.0
975,76.0
976,121.0
977,175.0
978,100.0
979,76.0
980,43.0
981,74.0
982,73.0
983,94.0
984,345.0
985,110.0
986,103.0
987,153.0
988,146.0
989,100.0
990,87.0
991,97.0
992,71.0
993,106.0
994,112.0
995,61.0
996,106.0
997,124.0
998,264.0
999,74.0
1000,41.0
1001,55.0
1002,42.0
1003,81.0
1004,122.0
1005,45.0
1006,115.0
1007,75.0
1008,41.0
1009,56.0
1010,97.0
1011,176.0
1012,146.0
1013,72.0
1014,76.0
1015,53.0
1016,133.0
1017,153.0
1018,99.0
1019,39.0
1020,128.0
1021,104.0
1022,34.0
1023,65.0
1024,126.0
1025,112.0
1026,132.0
1027,55.0
1028,79.0
1029,126.0
1030,49.0
1031,46.0
1032,41.0
1033,104.0
1034,153.0
1035,93.0
1036,45.0
1037,153.0
1038,345.0
1039,53.0
1040,126.0
1041,113.0
1042,188.0
1043,58.0
1044,133.0
1045,52.0
1046,87.0
1047,53.0
1048,97.0
1049,77.0
1050,55.0
1051,126.0
1052,88.0
1053,86.0
1054,72.0
1055,84.0
1056,78.0
1057,62.0
1058,85.0
1059,146.0
1060,117.0
1061,91.0
1062,44.0
1063,62.0
1064,121.0
1065,148.0
1066,181.0
1067,53.0
1068,126.0
1069,64.0
1070,271.0
1071,264.0
1072,51.0
1073,88.0
1074,52.0
1075,101.0
1076,55.0
1077,111.0
1078,68.0
1079,61.0
1080,61.0
1081,55.0
1082,112.0
1083,112.0
1084,100.0
1085,82.0
1086,62.0
1087,106.0
1088,50.0
1089,264.0
1090,74.0
1091,148.0
1092,181.0
1093,138.0
1094,107.0
1095,123.0
1096,41.0
1097,172.0
1098,71.0
1099,31.0
1100,78.0
1101,152.0
1102,53.0
1103,209.0
1104,88.0
1105,66.0
1106,42.0
1107,83.0
1108,71.0
1109,188.0
1110,42.0
1111,67.0
1112,188.0
1113,143.0
1114,44.0
1115,345.0
1116,71.0
1117,95.0
1118,77.0
1119,47.0
1120,146.0
1121,94.0
1122,345.0
1123,27.0
1124,186.0
1125,70.0
1126,81.0
1127,65.0
1128,81.0
1129,94.0
1130,226.0
1131,65.0
1132,52.0
1133,79.0
1134,130.0
1135,175.0
1136,72.0
1137,63.0
1138,70.0
1139,144.0
1140,97.0
1141,73.0
1142,61.0
1143,74.0
1144,72.0
1145,191.0
1146,345.0
1147,75.0
1148,54.0
1149,201.0
1150,126.0
1151,173.0
1152,191.0
1153,59.0
1154,54.0
1155,71.0
1156,73.0
1157,47.0
1158,60.0
1159,50.0
1160,71.0
1161,65.0
1162,103.0
1163,56.0
1164,48.0
1165,89.0
1166,68.0
1167,177.0
1168,144.0
1169,60.0
1170,52.0
1171,35.0
1172,70.0
1173,144.0
1174,173.0
1175,71.0
1176,101.0
1177,181.0
1178,94.0
1179,108.0
1180,153.0
1181,38.0
1182,47.0
1183,116.0
1184,171.0
1185,74.0
1186,93.0
1187,130.0
1188,94.0
1189,94.0
1190,58.0
1191,66.0
1192,97.0
1193,180.0
1194,48.0
1195,89.0
1196,126.0
1197,71.0
1198,144.0
1199,70.0
1200,146.0
1201,52.0
1202,124.0
1203,78.0
1204,105.0
1205,75.0
1206,68.0
1207,96.0
1208,47.0
1209,60.0
1210,181.0
1211,76.0
1212,264.0
1213,98.0
1214,46.0
1215,100.0
1216,143.0
1217,166.0
1218,46.0
1219,224.0
1220,181.0
1221,62.0
1222,145.0
1223,102.0
1224,58.0
1225,345.0
1226,102.0
1227,104.0
1228,271.0
1229,60.0
1230,126.0
1231,75.0
1232,52.0
1233,27.0
1234,81.0
1235,133.0
1236,64.0
1237,110.0
1238,62.0
1239,126.0
1240,38.0
1241,55.0
1242,0.0
1243,158.0
1244,64.0
1245,55.0
1246,85.0
1247,91.0
1248,264.0
1249,186.0
1250,54.0
1251,144.0
1252,56.0
1253,47.0
1254,45.0
1255,143.0
1256,149.0
1257,345.0
1258,62.0
1259,88.0
1260,78.0
1261,101.0
1262,345.0
1263,83.0
1264,48.0
1265,82.0
1266,124.0
1267,345.0
1268,31.0
1269,82.0
1270,120.0
1271,103.0
1272,134.0
1273,60.0
1274,63.0
1275,117.0
1276,60.0
1277,48.0
1278,75.0
1279,54.0
1280,72.0
1281,56.0
1282,153.0
1283,80.0
1284,102.0
1285,92.0
1286,170.0
1287,94.0
1288,75.0
1289,85.0
1290,50.0
1291,167.0
1292,134.0
1293,49.0
1294,73.0
1295,345.0
1296,183.0
1297,175.0
1298,175.0
1299,50.0
1300,85.0
1301,181.0
1302,153.0
1303,94.0
1304,88.0
1305,181.0
1306,74.0
1307,345.0
1308,264.0
1309,201.0
1310,44.0
1311,102.0
1312,40.0
1313,94.0
1314,185.0
1315,53.0
1316,110.0
1317,48.0
1318,47.0
1319,98.0
1320,50.0
1321,153.0
1322,111.0
1323,185.0
1324,142.0
1325,271.0
1326,108.0
1327,66.0
1328,88.0
1329,40.0
1330,40.0
1331,144.0
1332,71.0
1333,84.0
1334,103.0
1335,68.0
1336,37.0
1337,127.0
1338,181.0
1339,144.0
1340,76.0
1341,85.0
1342,105.0
1343,181.0
1344,85.0
1345,181.0
1346,52.0
1347,115.0
1348,91.0
1349,271.0
1350,65.0
1351,43.0
1352,271.0
1353,183.0
1354,134.0
1355,151.0
1356,149.0
1357,177.0
1358,46.0
1359,51.0
1360,180.0
1361,60.0
1362,85.0
1363,53.0
1364,134.0
1365,170.0
1366,72.0
1367,73.0
1368,47.0
1369,158.0
1370,143.0
1371,271.0
1372,345.0
1373,60.0
1374,105.0
1375,98.0
1376,181.0
1377,77.0
1378,264.0
1379,73.0
1380,158.0
1381,77.0
1382,166.0
1383,37.0
1384,108.0
1385,61.0
1386,99.0
1387,56.0
1388,85.0
1389,41.0
1390,175.0
1391,147.0
1392,39.0
1393,271.0
1394,97.0
1395,345.0
1396,177.0
1397,44.0
1398,130.0
1399,144.0
1400,82.0
1401,102.0
1402,129.0
1403,144.0
1404,81.0
1405,71.0
1406,82.0
1407,68.0
1408,158.0
1409,104.0
1410,162.0
1411,110.0
1412,89.0
1413,47.0
1414,77.0
1415,47.0
1416,158.0
1417,106.0
1418,126.0
1419,218.0
1420,115.0
1421,95.0
1422,82.0
1423,158.0
1424,54.0
1425,345.0
1426,128.0
1427,60.0
1428,134.0
1429,48.0
1430,134.0
1431,181.0
1432,62.0
1433,271.0
1434,67.0
1435,151.0
1436,121.0
1437,152.0
1438,137.0
1439,123.0
1440,106.0
1441,48.0
1442,95.0
1443,58.0
1444,128.0
1445,131.0
1446,72.0
1447,58.0
1448,101.0
1449,73.0
1450,162.0
1451,64.0
1452,104.0
1453,128.0
1454,104.0
1455,121.0
1456,128.0
1457,65.0
1458,0.0
1459,45.0
1460,151.0
1461,0.0
1462,110.0
1463,0.0
1464,85.0
1465,134.0
1466,134.0
1467,131.0
1468,134.0
1469,82.0
1470,45.0
1471,271.0
1472,104.0
1473,181.0
1474,48.0
1475,65.0
1476,189.0
1477,215.0
1478,55.0
1479,66.0
1480,79.0
1481,85.0
1482,189.0
1483,134.0
1484,115.0
1485,44.0
1486,40.0
1487,118.0
1488,134.0
1489,86.0
1490,78.0
1491,48.0
1492,95.0
1493,183.0
1494,114.0
1495,162.0
1496,57.0
1497,65.0
1498,104.0
1499,189.0
1500,264.0
1501,162.0
1502,128.0
1503,102.0
1504,76.0
1505,53.0
1506,62.0
1507,47.0
1508,72.0
1509,46.0
1510,95.0
1511,62.0
1512,71.0
1513,166.0
1514,183.0
1515,71.0
1516,52.0
1517,70.0
1518,91.0
1519,71.0
1520,76.0
1521,134.0
1522,104.0
1523,130.0
1524,111.0
1525,50.0
1526,39.0
1527,345.0
1528,0.0
1529,58.0
1530,80.0
1531,83.0
1532,89.0
1533,93.0
1534,345.0
1535,105.0
1536,62.0
1537,81.0
1538,129.0
1539,95.0
1540,75.0
1541,55.0
1542,55.0
1543,153.0
1544,87.0
1545,79.0
1546,46.0
1547,62.0
1548,134.0
1549,134.0
1550,110.0
1551,45.0
1552,112.0
1553,111.0
1554,134.0
1555,149.0
1556,183.0
1557,95.0
1558,62.0
1559,183.0
1560,282.0
1561,63.0
1562,39.0
1563,151.0
1564,88.0
1565,102.0
1566,87.0
1567,158.0
1568,100.0
1569,146.0
1570,282.0
1571,123.0
1572,226.0
1573,71.0
1574,59.0
1575,62.0
1576,52.0
1577,121.0
1578,39.0
1579,131.0
1580,58.0
1581,114.0
1582,215.0
1583,183.0
1584,72.0
1585,38.0
1586,61.0
1587,93.0
1588,162.0
1589,58.0
1590,183.0
1591,72.0
1592,62.0
1593,101.0
1594,75.0
1595,175.0
1596,226.0
1597,54.0
1598,91.0
1599,59.0
1600,74.0
1601,76.0
1602,149.0
1603,52.0
1604,183.0
1605,69.0
1606,59.0
1607,111.0
1608,57.0
1609,183.0
1610,98.0
1611,215.0
1612,226.0
1613,60.0
1614,282.0
1615,151.0
1616,70.0
1617,58.0
1618,162.0
1619,226.0
1620,144.0
1621,126.0
1622,181.0
1623,183.0
1624,183.0
1625,226.0
1626,183.0
1627,101.0
1628,177.0
1629,75.0
1630,183.0
1631,58.0
1632,72.0
1633,110.0
1634,67.0
1635,54.0
1636,134.0
1637,100.0
1638,57.0
1639,37.0
1640,87.0
1641,183.0
1642,40.0
1643,99.0
1644,183.0
1645,68.0
1646,183.0
1647,181.0
1648,52.0
1649,226.0
1650,73.0
1651,78.0
1652,85.0
1653,71.0
1654,78.0
1655,47.0
1656,126.0
1657,282.0
1658,70.0
1659,56.0
1660,181.0
1661,63.0
1662,345.0
1663,56.0
1664,166.0
1665,181.0
1666,264.0
1667,146.0
1668,95.0
1669,146.0
1670,66.0
1671,74.0
1672,201.0
1673,72.0
1674,75.0
1675,101.0
1676,94.0
1677,103.0
1678,126.0
1679,146.0
1680,75.0
1681,96.0
1682,31.0
1683,63.0
1684,73.0
1685,62.0
1686,345.0
1687,0.0
1688,66.0
1689,183.0
1690,27.0
1691,150.0
1692,96.0
1693,37.0
1694,92.0
1695,86.0
1696,95.0
1697,282.0
1698,82.0
1699,78.0
1700,69.0
1701,55.0
1702,56.0
1703,282.0
1704,75.0
1705,226.0
1706,271.0
1707,135.0
1708,282.0
1709,345.0
1710,110.0
1711,55.0
1712,68.0
1713,157.0
1714,35.0
1715,162.0
1716,224.0
1717,70.0
1718,282.0
1719,158.0
1720,64.0
1721,173.0
1722,58.0
1723,96.0
1724,181.0
1725,224.0
1726,215.0
1727,116.0
1728,83.0
1729,38.0
1730,67.0
1731,150.0
1732,99.0
1733,106.0
1734,69.0
1735,45.0
1736,89.0
1737,126.0
1738,61.0
1739,100.0
1740,52.0
1741,98.0
1742,282.0
1743,138.0
1744,183.0
1745,70.0
1746,53.0
1747,93.0
1748,47.0
1749,99.0
1750,282.0
1751,181.0
1752,226.0
1753,61.0
1754,80.0
1755,130.0
1756,89.0
1757,46.0
1758,345.0
1759,106.0
1760,45.0
1761,157.0
1762,130.0
1763,98.0
1764,146.0
1765,118.0
1766,105.0
1767,226.0
1768,75.0
1769,177.0
1770,158.0
1771,37.0
1772,52.0
1773,114.0
1774,224.0
1775,130.0
1776,111.0
1777,172.0
1778,226.0
1779,57.0
1780,53.0
1781,98.0
1782,224.0
1783,189.0
1784,71.0
1785,188.0
1786,122.0
1787,50.0
1788,134.0
1789,282.0
1790,96.0
1791,105.0
1792,83.0
1793,98.0
1794,71.0
1795,150.0
1796,98.0
1797,61.0
1798,96.0
1799,48.0
1800,85.0
1801,40.0
1802,98.0
1803,110.0
1804,46.0
1805,134.0
1806,110.0
1807,48.0
1808,86.0
1809,90.0
1810,106.0
1811,84.0
1812,170.0
1813,108.0
1814,76.0
1815,56.0
1816,158.0
1817,215.0
1818,43.0
1819,101.0
1820,224.0
1821,84.0
1822,66.0
1823,0.0
1824,162.0
1825,185.0
1826,60.0
1827,183.0
1828,124.0
1829,43.0
1830,282.0
1831,67.0
1832,50.0
1833,58.0
1834,48.0
1835,133.0
1836,84.0
1837,133.0
1838,124.0
1839,35.0
1840,51.0
1841,183.0
1842,224.0
1843,86.0
1844,72.0
1845,55.0
1846,60.0
1847,72.0
1848,84.0
1849,224.0
1850,131.0
1851,69.0
1852,158.0
1853,92.0
1854,224.0
1855,98.0
1856,108.0
1857,113.0
1858,86.0
1859,90.0
1860,181.0
1861,49.0
1862,92.0
1863,131.0
1864,52.0
1865,124.0
1866,224.0
1867,46.0
1868,63.0
1869,108.0
1870,40.0
1871,183.0
1872,31.0
1873,186.0
1874,224.0
1875,158.0
1876,125.0
1877,133.0
1878,92.0
1879,150.0
1880,282.0
1881,130.0
1882,46.0
1883,108.0
1884,68.0
1885,107.0
1886,75.0
1887,56.0
1888,0.0
1889,224.0
1890,37.0
1891,108.0
1892,47.0
1893,224.0
1894,170.0
1895,59.0
1896,74.0
1897,224.0
1898,0.0
1899,47.0
1900,224.0
1901,92.0
1902,183.0
1903,170.0
1904,162.0
1905,224.0
1906,116.0
1907,56.0
1908,85.0
1909,55.0
1910,89.0
1911,158.0
1912,31.0
1913,224.0
1914,70.0
1915,110.0
1916,89.0
1917,0.0
1918,108.0
1919,72.0
1920,151.0
1921,224.0
1922,105.0
1923,75.0
1924,0.0
1925,107.0
1926,282.0
1927,224.0
1928,81.0
1929,86.0
1930,271.0
1931,189.0
1932,76.0
1933,85.0
1934,345.0
1935,143.0
1936,147.0
1937,85.0
1938,150.0
1939,93.0
1940,147.0
1941,63.0
1942,83.0
1943,224.0
1944,215.0
1945,104.0
1946,46.0
1947,92.0
1948,73.0
1949,224.0
1950,108.0
1951,43.0
1952,58.0
1953,224.0
1954,149.0
1955,147.0
1956,81.0
1957,158.0
1958,271.0
1959,178.0
1960,124.0
1961,147.0
1962,116.0
1963,111.0
1964,128.0
1965,226.0
1966,171.0
1967,27.0
1968,84.0
1969,224.0
1970,264.0
1971,66.0
1972,51.0
1973,175.0
1974,150.0
1975,90.0
1976,147.0
1977,162.0
1978,58.0
1979,47.0
1980,88.0
1981,79.0
1982,82.0
1983,58.0
1984,282.0
1985,84.0
1986,47.0
1987,177.0
1988,74.0
1989,103.0
1990,144.0
1991,52.0
1992,44.0
1993,144.0
1994,63.0
1995,68.0
1996,282.0
1997,282.0
1998,224.0
1999,157.0
